Title,processed_abstract,NIM
Perancangan Arsitektur Sistem Informasi Pelayanan Pengujian Benih (pada BBPPMBTPH) Menggunakan TOGAF ADM, berdasarkan keputusan menteri pertanian nomor 993 tahun 2018 benih bermutu suatu proses produksi benih melalui tahapan pengujian benih telah memenuhi standar mutu baik standar lapangan maupun laboratorium komoditi kelas benih telah ditentukan pengujian mutu benih berperan besar menyajikan hasil uji tepat akurat balai besar pengembangan pengujian mutu benih tanaman pangan hortikultura bbppmbtph memiliki peran penting pelaksanaan pelayanan laboratorium acuan nasional pengujian mutu benih laporan kinerja tahunan menunjukkan pelaksanaan pelayanan pengujian benih bbppmbtph mengalami peningkatan output melebihi target beberapa tahun terakhir tahun 2023 menetapkan target 1 050 sampel laboratorium berhasil menguji sebanyak 1 130 sampel benih melampaui target sebesar 762 capaian serupa tercatat tahun 2022 1 195 sampel benih berhasil diuji melebihi target sebesar 1381 peningkatan menunjukkan tingginya permintaan layanan pengujian mutu benih sekaligus menjadi tantangan bbppmbtph meningkatkan kualitas pelayanannya peningkatan kualitas pelayanan bertujuan memenuhi permintaan terus meningkat memastikan setiap benih diuji memenuhi standar mutu sesuai penerapan iso 9001 manajemen mutu isoiec 17025 kompetensi laboratorium pemanfaatan tik optimal penting meningkatkan kualitas layanan penerapan tik bbppmbtph khususnya pelayanan pengujian mutu benih belum optimal berdampak lambatnya penyediaan informasi kurangnya aksesibilitas data kesulitan pelacakan status pengujian keterbatasan tidak menghambat pengguna layanan pengujian benih mengambil keputusan tepat juga menghambat upaya bbppmbtph mewujudkan tata kelola pemerintahan baik sesuai prinsipprinsip sistem pemerintahan berbasis elektronik spbe penelitian bertujuan merancang arsitektur sistem informasi manajemen pelayanan pengujian benih bbppmbtph menggunakan the open group architecture framework togaf menggunakan architecture development method adm togaf adm metodologi arsitektur enterprise komprehensif terstruktur digunakan mengembangkan arsitektur sistem efektif efisien penelitian menggunakan pendekatan kualitatif metode studi kasus data dikumpulkan melalui wawancara observasi analisis dokumen tahap analisa meliputi identifikasi kebutuhan laboratorium pemetaan proses bisnis analisis kebutuhan pengguna identifikasi permasalahan terkait fase preliminary arsitektur visi arsitektur bisnis selanjutnya dilakukan perancangan arsitektur sistem informasi arsitektur teknologi hasil penelitian menunjukkan pemanfaatan tahapan togaf adm digunakan membuat rancangan arsitektur sistem informasi pelayanan pengujian mutu benih tahapan preliminary observasi studi literatur dilakukan organisasi menganalisis memperoleh pemahaman mendalam layanan laboratorium pengujian mutu benih selanjutnya wawancara terstruktur mencakup demografi keterkaitan pengalaman evaluasi dilakukan pemangku kepentingan terkait hasil wawancara digunakan mengidentifikasi masalah pengguna terdampak penyebab waktu lokasi solusi potensial kemudian berkontribusi perancangan architecture vision komprehensif tahapan architecture vision bertujuan menentukan prinsip arsitektur tahapan dimulai mengidentifikasi stakeholder layanan pengujian mutu benih identifikasi visi misi tujuan strategi organisasi analisis identifikasi tersebut menghasilkan empat goals menjadi tujuan utama rancangan sistem informasi manajemen pelayanan pengujian mutu benih goals tersebut meningkatkan efisiensi efektivitas proses pengujian meningkatkan transparansi akuntabilitas meningkatkan kepuasan pelanggan mendukung pengambilan keputusan berbasis data tahap perancangan arsitektur bisnis melibatkan pemetaan alur kerja pelayanan pengujian benih berjalan menggunakan value chain diagram diagram tersebut membagi kegiatan bisnis menjadi aktivitas utama pendukung pemetaan ini membantu memahami peran tanggung jawab potensi perbaikan organisasi selanjutnya analisis kesenjangan gap analysis dilakukan mengidentifikasi kekurangan proses bisnis ada merumuskan perbaikan menghasilkan proses bisnis diharapkan proses bisnis diharapkan pengujian mutu benih bbppmbtph proses lebih efisien cepat akurat mudah diakses pelanggan proses bisnis diharapkan tersebut menjadi dasar analisis merancang arsitektur sistem informasi tahapan arsitektur sistem informasi menghasilkan lima kandidat aplikasi data dapat mendukung terbentuknya sistem informasi manajemen pelayanan pengujian mutu benih lima kandidat aplikasi utama tersebut esubmission pengajuan permohonan pengujian online lab management system lms pengelolaan proses pengujian laboratorium seed database penyimpanan data benih hasil pengujian ereporting pembuatan laporan otomatis information portal sebagai pusat informasi pengguna masingmasing aplikasi memiliki fungsi fitur saling terintegrasi menciptakan alur kerja efisien transparan informatif semua pihak terlibat proses pelayanan pengujian mutu benih perancangan pengembangan kandidat aplikasi mencakup prioritas pengembangan estimasi anggaran waktu kebutuhan sumber daya manusia sdm manajemen risiko mungkin timbul selama proses pengembangan sistem tahapan arsitektur teknologi pengembangan sistem informasi memberikan arahan terkait teknologi direkomendasikan rancangan arsitektur teknologi ini mencakup tiga domain penting perangkat lunak infrastruktur keamanan,G6401211001
Analisis dan Perancangan Arsitektur Sistem Informasi Internal pada Sekolah Bisnis – Institut Pertanian Bogor dengan metode TOGAF-ADM, sistem informasi menjadi aset berharga keberlangsungan sebuah organisasi mampu meningkatkan kinerja efisiensi memberikan competitive advantage organisasi sendiri insitut pertanian bogor bertahap melakukan perubahan sistem informasinya global mengintegrasikan memusatkan data seluruh unit bertahap mendigitalisasi proses bisnisnya sekolah bisnis ipb sbipb salah satu unit ipb secara bertahap mengikuti regulasi ipb memusatkan datanya sistem informasi terintegrasi ipb siti demikian sbipb merasa tetap memerlukan sebuah sistem informasi internal menjawab kebutuhan stakeholders pelayanan datadata internal sekolah bisnis ipb khususnya ruang lingkup kebutuhan monitoring evaluasi proses bisnis sbipb dapat membangun sebuah sistem dapat mendukung proses bisnis kebutuan suatu organisasi perlu adanya perencanaan arsitektur enterprise architecture sistem informasi kemudian dapat menghasilkan sebuah logical blueprint terdapat beberapa enterprise architecture framework dapat membantu merancang suatu sistem penelitian digunakan the open group architecture framework togaf berorientasi process togaf architecture development methodnya menjadi landasan metode penelitian menggunakan 4 metode arsitektur togafadm fase preliminary architecture vision business architecture information system architecture perancangan sistem informasi internal juga dibantu menggunakan unified modelling language uml merupakan metode perancangan sistem informasi menggunakan modelmodel berupa use case diagram activity diagram class diagram penelitian diawali perumusan masalah tujuan penelitian kemudian dilanjutkan studi pustaka wawancara observasi bagian fase preliminary togafadm penelitian kemudian dilanjutkan tiga fase togafadm selanjutnya 1 fase architecture vision akan mendapatkan informasi organisasi dirumuskan bentuk visi misi tujuan menentukan lingkup arsitektur akan dikembangkan 2 fase business architecture bertujuan mendeskripsikan arsitektur bisnis sasaran menentukan kesenjangan gap 3 information system architecture bertujuan menyusun bagaimana arsitektur sistem informasi dibangun digunakan organisasi application architecture data architecture fase preliminary didapatkan terdapat 12 fungsi administrasi bisnis internal sbipb menjalankan proses bisnis sesuai sasarannya itu dikarenakan sbipb merupakan salah satu unit dibawah ipb sebagian proses bisnisnya menggunakan sistem informasi terintegrasi ipb siti demikian tetap diperlukan akan sistem informasi internal pelengkap siti fase architecture vision didapatkan 1 daftar pemangku kepentingan stakeholders berkaitan sistem informasi internal pimpinan dosen tenaga kependidikan mahasiswa sbipb 2 opsiopsi diperlukan business capability assessment mencapai sasaran fungsi bisnis fase business architecture didapatkan gap analysis dilakukan melihat kekurangan terdapat proses bisnis saat ini berjalan setiap fungsinya diharapkan fase information system architecture didapatkan 1 target aplikasi menganalisis baseline aplikasi ditentukan arsiktektur aplikasi 2 kebutuhan fungsional usulan entitas data arsitektur data berdasarkan hasil penelitian 1 sistem informasi internal sbipb sangat diperlukan dikarenakan terlepas siti adanya sistem pencatatan pengumpulan data terintegrasi membantu pencapaian sasaran 2 kebutuhan stakeholders mengharapkan adanya ketersediaan data cepat proses bisnis terintegrasi dalam sistem monitoring evaluasi 3 arsitektur sistem informasi internal adapun rancangan logic sistem informasi exercise arsitektur yang dibangun dibuat menggunakan uml use case diagram activity diagram class diagram,G6401211001
Analisis Pemetaan Kesesuaian Lahan untuk Bawang Putih dengan Pendekatan Spatial Clustering, ketersediaan bawang putih tanah air memenuhi kebutuhan masyarakat indonesia ketersediaan bawang putih sedikit dikarenakan produksi negeri rendah tingkat produksi bawang putih negeri hanya 16 2 ribu ton sedangkan kebutuhannya mencapai angka 479 8 ribu ton tingkat produksi bawang putih rendah salah satunya diakibatkan oleh ketiadaan lahan luas lahan bawang putih tahun 2015 2563 hektar tahun 2016 luas lahannya mengalami penurunan menjadi 2407 hektar pemerintah merencanakan proyeksi swasembeda bawang putih untuk meningkatkan produksi bawang putih cara mengembangkan kawasan yang cocok ditanami bawang putih proses pengembangan kawasan dapat dilakukan cara mengidentifikasi kesesuaian lahan pada suatu wilayah penelitian bertujuan mengelompokkan wilayah berdasarkan syarat tumbuh bawang putih area studi penelitian kabupaten magetan provinsi jawa timur kabupaten solok provinsi sumatera barat karakteristik digunakan mengelompokkan wilayah berdasarkan karakteristik syarat tumbuh bawang putih adalah adalah temperatur °c curah hujan mm elevasi mdpl kedalaman tanah cm drainase tekstur tanah tingkat kemasaman tanah kapasitas tukar kation cmol kejenuhan basa relief karakteristik tersebut digunakan mengelompokkan wilayah berdasarkan kemiripan karakteristik suatu wilayah wilayah lainnya proses pengelompokan wilayah berdasarkan karakteristik syarat tumbuh bawang putih dilakukan algoritme spatiotemporal density based spatial clustering of application with noise stdbscan telah dimodifikasi modifikasi algoritme tersebut merubah parameter temporal menjadi parameter nonspasial dan menambahkan teknik grid search penentuan parameter yang optimum penelitian menghasilkan beberapa kelompok cluster wilayah karakteristik syarat tumbuh bawang putih kelompok memiliki karakteristik umum mendefinisikan kelas kesesuaian lahannya kualitas cluster hasil pengelompokan stdbscan dimodifikasi menghasilkan nilai silhoutte index 0 317 kabupaten magetan 0 257 kabupaten solok cluster wilayah karakteristik bawang putih dapat digunakan oleh pemerintah pengembangan kawasan bawang putih,G6401211001
Pengembangan Sistem Enterprise Distribusi Cabai dengan Kerangka Kerja Zachman pada Perspektif Teknisi dan Model Komponen Tool, indonesia menjadikan sektor pertanian menjadi sektor potensial produkproduk negeri distribusi cabai indonesia perlu dikembangkan proses pendataan dilakukan manual menggunakan blangko menyebabkan rumitnya proses memungkinkan terjadinya kesalahankesalahan cukup besar sebab diperlukan sistem enterprise membantu petani proses distribusi informasi pembuatan sistem enterprise dilakukan kerangka kerja zachman berfokus perspektif teknisi model komponen tool klasifikasi what how where who whom why hasil artefak berupa implementasi tabel query basis data implementasi method daftar endpoint konfigurasi hak akses pengguna jadwal pengkodingan sistem target diharapkan melalui pembangunan sistem penelitian ini dilakukan pengembangan modul backend dilakukan mengakomodasi tim frontend dalam pembuatan sistem melalui penelitian ini distribusi informasi hasil panen cabai diharapkan menjadi lebih efisien meningkatkan kualitas informasi diperoleh,G6401211001
Perancangan Enterprise Architecture pada Layanan Pemeriksaan Barang Bukti Laboratorium Forensik untuk Mendukung Pengembangan E-government, laboratorium forensik labfor merupakan bagian struktur lembaga kepolisian negara republik indonesia polri berfungsi memberikan dukungan pemeriksaan barang bukti penyidik hasil pengamatan dilakukan diketahui proses bisnis berjalan labfor polda jateng dimulai registrasi permohonan pemeriksaan barang bukti persetujuan disposisi stakeholder penyerahan hasil pemeriksaan barang bukti seluruhnya dilakukan manual belum berbasi it sesuai dengan program kerja promoter professional modern terpercaya polri melakukan peningkatan pelayanan publik lebih mudah masyarakat berbasis ti penelitian dilakukan perancangan enterprise architecture menggunakan framework togaf adm strategi penerapan egovernment sesuai dilingkungkan laboratorium forensik polri tahapan perancangan terdiri vision architecture business architecture information architecture penelitian menghasilkan analisis fungsi fitur monitoring pendigitalisasian data tracking progres pemeriksaan pada sistem mendukung layanan pemeriksaan barang bukti forensik ada labfor polda jateng,G6401211001
Clustering Interaksi antar Protein dan Fungsi Molekuler Menggunakan Graf Fuzzy K-partite, protein merupakan komponen penting tubuh berhubungan pembentukan sel manusia disfungsi protein mempengaruhi produksi produk sel metabolisme tubuh karena disfungsi protein menyebabkan kematian sel kegagalan fungsi organ tertentu salah satu penyakit disebabkan kematian sel penyakit parkinson upaya mengembalikan fungsi protein fungsi normalnya dilakukannya terapi protein tersebut obat tepat tahapan awal dilakukan proses penemuan obat meningkatkan efektifitas diagnosa penyakit parkinson menemukan proteinprotein target penyakit parkinson penelitian bertujuan melakukan clustering interaksi antar protein fungsi molekuler penyakit parkinson direpresentasikan graf bipartite hasil pengelompokan kemudian dianalisis menggunakan informasi terdapat dalam database david diidentifikasi target protein fungsi molekuler penyakit parkinson pengumpulan data dilakukan mendapatkan protein target fungsi molekuler beberapa pangkalan data pengumpulan data protein fungsi molekuler dimulai melakukan pencarian data gen penyakit parkinson pangkalan data omim pencarian berlanjut mencari data interaksi antar protein ppi pangkalan data string selanjutnya data ppi digunakan data input pangkalan data uniprot menemukan data fungsi molekuler implementasi clustering ppi fungsi molekuler menggunakan pendekatan fuzzy kpartite graph clustering penelitian menghasilkan 19 protein target pemicu utama perkembangan penyakit parkinson protein tersebut adalahh park2 park 7 snca pink1 lrrk2 mapt gba eif4g1 tbp chchd2 vps35 htra2 gigyf2 fbxo7 pla2g6 prkag2 atxn2 synj1 dnajc6 penelitian ditemukan cluster protein terbesar cluster protein 11 dengan anggota protein synuclein alpha snca itu ditemukan sebagian besar fungsi molekuler terkait dengan pensinyalan sel neuron sistem saraf pusat sebagai metabolisme membran sel adapun manfaat penelitian yaitu protein target fungsi molekuler digunakan mengoptimalkan penemuan formula obat penyakit parkinson,G6401211002
Pemodelan dan Prediksi Interaksi Protein-protein Diabetes Mellitus Tipe 2 dengan Feedforward Neural Network, suatu protein berinteraksi protein lainnya menjalankan suatu fungsi biologis data interaksi proteinprotein terbatas pendekatan komputasional menjadi alternatif pendekatan eksperimental yang membutuhkan banyak sumber daya arsitektur feedforward neural network fnn diterapkan memodelkan memprediksi interaksi proteinprotein terkait diabetes mellitus tipe 2 dapat dinyatakan suatu fungsi matematika yang kompleks fungsi aktivasi jumlah unit hidden layer jumlah hidden layer berbedabeda diamati pengaruhnya galat pendugaan model fnn memberikan nilai galat pendugaan terkecil fungsi aktivasi rectifier tiga puluh enam unit hidden layer tujuh hidden layer model fnn dengan konfigurasi tersebut berhasil memprediksi tingkat kepercayaan interaksi proteinprotein dengan keluaran sebesar 0 922 berdasarkan larik diberikan model tersebut memberikan performa lebih baik model random forest dan support vector regression hal akurasi prediksi interaksi proteinprotein,G6401211002
Perancangan Enterprise Architecture pada Layanan Pemeriksaan Barang Bukti Laboratorium Forensik untuk Mendukung Pengembangan E-government, laboratorium forensik labfor merupakan bagian struktur lembaga kepolisian negara republik indonesia polri berfungsi memberikan dukungan pemeriksaan barang bukti penyidik hasil pengamatan dilakukan diketahui proses bisnis berjalan labfor polda jateng dimulai registrasi permohonan pemeriksaan barang bukti persetujuan disposisi stakeholder penyerahan hasil pemeriksaan barang bukti seluruhnya dilakukan manual belum berbasi it sesuai dengan program kerja promoter professional modern terpercaya polri melakukan peningkatan pelayanan publik lebih mudah masyarakat berbasis ti penelitian dilakukan perancangan enterprise architecture menggunakan framework togaf adm strategi penerapan egovernment sesuai dilingkungkan laboratorium forensik polri tahapan perancangan terdiri vision architecture business architecture information architecture penelitian menghasilkan analisis fungsi fitur monitoring pendigitalisasian data tracking progres pemeriksaan pada sistem mendukung layanan pemeriksaan barang bukti forensik ada labfor polda jateng,G6401211002
Pengembangan Aplikasi Penggajian Berbasis Web di Peternakan Al-Baqoroh Menggunakan Metode Incremental., albaqoroh merupakan salah satu peternakan sapi perah kabupaten bogor pencatatan perhitungan gaji pegawainya dilakukan sacara konvensional itu menyebabkan efektifnya ruang penyimpanan tidak efisiennya waktu perhitungan dibuatlah suatu aplikasi penggajian menggunakan metode incremental terdiri 13 kebutuhan fungsional dikerjakan 2 increment fungsi pencatatan perhitungan terdapat 5 tahapan pengerjaan increment komunikasi perancangan pemodelan konstruksi penyerahan sistem terdapat 8 fungsi dikerjakan increment pertama 5 fungsi increment kedua setiap fungsi setiap increment berhasil terapkan diuji pemilik peternakan total kasus uji 86 kasus increment pertama 22 kasus untuk increment kedua pengembangan aplikasi penggajian dilakukan menggunakan bahasa pemrograman php rdbms mariadb framework codeigniter penelitian menghasilkan suatu aplikasi penggajian dapat membantu melakukan pencatatan perhitungan gaji pegawai peternakan albaqoroh,G6401211002
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX, sistem alumni peduli sistem digunakan berbagi memperoleh bantuan antar alumni mahasiswa penulis mengembangkan modul crowdfunding bagian frontend sistem alumni peduli meningkatkan partisipasi alumni akademik non akademik penelitian dilakukan membuat alumni melihat transparansi donasi telah dilakukan metode digunakan penelitian metode five planes terdapat 5 tahapan strategy plane scope plane structure plane skeleton plane surface plane aplikasi dikembangkan menggunakan framework laravel fungsifungsi diimplementasikan alumni peduli menerapkan indikator transparansi akuntabilitas yaitu fungsi campaign merupakan indikator kejelasan kelengkapan informasi fungsi donasi fungsi laporan campaign indikator kesediaan aksesibilitas dokumen fungsi notifikasi indikator keterbukaan proses,G6401211002
